time (UTC),max_temperature,min_temperature,mean_temperature,mean SLP,total_solar_radiation,max_uv_index,average speed,average dir,max gust
2020-07-01 00:00:00-07:00,18.8,10.9,13.0,1015.6,208604.0,6.6,0.6,149,5.0
2020-07-02 00:00:00-07:00,15.2,9.2,12.2,1017.3,102809.0,2.3,0.5,124,4.8
2020-07-03 00:00:00-07:00,18.0,9.1,13.2,1020.6,192029.0,4.3,0.3,88,4.5
2020-07-04 00:00:00-07:00,22.7,10.3,14.6,1024.3,307947.0,8.7,0.4,74,4.3
2020-07-05 00:00:00-07:00,24.4,8.3,15.0,1023.0,508393.0,6.0,0.5,72,6.5
2020-07-06 00:00:00-07:00,22.3,8.5,14.7,1019.5,435852.0,7.1,0.5,93,5.4
2020-07-07 00:00:00-07:00,16.8,11.1,13.4,1020.4,159360.0,3.5,0.3,94,3.8
2020-07-08 00:00:00-07:00,22.7,11.0,15.6,1020.7,379207.0,6.8,0.4,77,4.7
2020-07-09 00:00:00-07:00,17.8,11.9,14.1,1018.6,169914.0,3.3,0.3,70,4.2
2020-07-10 00:00:00-07:00,21.2,9.9,15.0,1023.0,443036.0,6.0,0.4,71,6.4
2020-07-11 00:00:00-07:00,18.3,8.6,13.7,1021.4,214883.0,4.4,0.4,84,7.5
2020-07-12 00:00:00-07:00,19.7,11.0,14.9,1022.5,312716.0,8.6,0.7,103,8.6
2020-07-13 00:00:00-07:00,22.1,8.1,14.5,1021.0,495220.0,6.0,0.5,109,7.2
2020-07-14 00:00:00-07:00,24.8,8.9,16.2,1019.9,478792.0,5.9,0.4,84,8.4
2020-07-15 00:00:00-07:00,25.0,10.6,17.1,1018.7,492121.0,5.6,0.4,77,5.5
2020-07-16 00:00:00-07:00,23.5,13.2,17.1,1015.0,320131.0,6.9,0.5,100,6.4
2020-07-17 00:00:00-07:00,18.9,11.1,15.0,1017.9,197526.0,7.1,0.4,69,6.0
2020-07-18 00:00:00-07:00,24.4,10.0,16.6,1021.1,469302.0,8.2,0.4,60,6.5
2020-07-19 00:00:00-07:00,25.5,11.7,18.5,1017.0,458100.0,8.1,0.4,64,5.3
2020-07-20 00:00:00-07:00,28.2,13.6,18.6,1014.7,466109.0,7.4,0.3,73,5.0
2020-07-21 00:00:00-07:00,25.1,12.8,17.4,1011.5,302822.0,7.6,0.4,77,4.2
